timestamp_utc,unix_ms,event_type,best_yes_bid,best_yes_ask,mid_yes,spread_yes,best_no_bid,best_no_ask,mid_no,spread_no,yes_depth_3,no_depth_3
2026-05-28T02:14:16.153093+00:00,1779934456153,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4129.37,4610.76
2026-05-28T02:14:16.186882+00:00,1779934456186,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4129.37,3810.76
2026-05-28T02:14:16.240943+00:00,1779934456240,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4129.37,3801.76
2026-05-28T02:14:16.241578+00:00,1779934456241,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4129.37,3637.76
2026-05-28T02:14:16.242164+00:00,1779934456242,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4129.37,3637.76
2026-05-28T02:14:16.242874+00:00,1779934456242,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4129.37,4437.76
2026-05-28T02:14:16.243340+00:00,1779934456243,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4129.37,3187.76
2026-05-28T02:14:16.243750+00:00,1779934456243,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4129.37,3187.76
2026-05-28T02:14:16.244241+00:00,1779934456244,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4129.37,3187.76
2026-05-28T02:14:16.244794+00:00,1779934456244,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4129.37,3187.76
2026-05-28T02:14:16.269379+00:00,1779934456269,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4129.37,3187.76
2026-05-28T02:14:16.272375+00:00,1779934456272,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4129.37,3171.64
2026-05-28T02:14:16.294007+00:00,1779934456294,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4129.37,3171.64
2026-05-28T02:14:16.294665+00:00,1779934456294,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4129.37,3171.64
2026-05-28T02:14:16.295281+00:00,1779934456295,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4129.37,3171.64
2026-05-28T02:14:16.295693+00:00,1779934456295,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4479.37,3171.64
2026-05-28T02:14:16.296107+00:00,1779934456296,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4479.37,2915.0
2026-05-28T02:14:16.296476+00:00,1779934456296,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4479.37,2915.0
2026-05-28T02:14:16.296846+00:00,1779934456296,delta,0.87,0.88,0.875,0.01,0.12,0.13,0.125,0.01,4479.37,2460.0
